# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cpu-clock:ppp'
# Event count (approx.): 2639250000
#
# Overhead  Command          Shared Object              Symbol
# ........  ...............  .........................  ...................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.16%  countwords_par_  libicui18n.so.72.1         [.] 0x0000000000151ac0
     0.16%  countwords_par_  libicuuc.so.72.1           [.] icu_72::Locale::getDefault()
     0.16%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UMemory::operator delete(void*)
     0.16%  countwords_par_  libicuuc.so.72.1           [.] ulocimp_getRegionForSupplementalData_72
     0.15%  countwords_par_  libc.so.6                  [.] read
     0.15%  countwords_par_  libicuuc.so.72.1           [.] icu_72::SharedObject::removeRef() const
     0.15%  countwords_par_  libicuuc.so.72.1           [.] res_getStringNoTrace_72
     0.15%  countwords_par_  libicuuc.so.72.1           [.] ulocimp_getScript_72(char const*, char const**, UErrorCode&)
     0.15%  countwords_par_  libicuuc.so.72.1           [.] uprv_strnicmp_72
     0.15%  countwords_par_  libicuuc.so.72.1           [.] ures_getByIndex_72
     0.14%  countwords_par_  libicui18n.so.72.1         [.] icu_72::DecimalFormat::setupFastFormat()
     0.14%  countwords_par_  libicuuc.so.72.1           [.] __strcpy_chk@plt
     0.14%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000105441
     0.14%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000105485
     0.14%  countwords_par_  libstdc++.so.6.0.32        [.] std::locale::_Impl::_M_install_facet(std::locale::id const*, std::locale::facet const*)
     0.13%  countwords_par_  [kernel.kallsyms]          [k] __d_lookup_rcu
     0.13%  countwords_par_  libc.so.6                  [.] strlen@plt
     0.13%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::IntegerWidth::zeroFillTo(int)
     0.13%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::LocalizedNumberFormatter::operator=(icu_72::number::LocalizedNumberFormatter&&)
     0.13%  countwords_par_  libicuuc.so.72.1           [.] free@plt
     0.13%  countwords_par_  libicuuc.so.72.1           [.] icu_72::Locale::operator==(icu_72::Locale const&) const
     0.13%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UnifiedCache::getInstance(UErrorCode&)
     0.13%  countwords_par_  libicuuc.so.72.1           [.] ures_getByKey_72
     0.12%  countwords_par_  libicui18n.so.72.1         [.] icu_72::SimpleDateFormat::initFastNumberFormatters(UErrorCode&)
     0.12%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UMemory::operator new[](unsigned long)
     0.12%  countwords_par_  libicuuc.so.72.1           [.] u_strlen_72
     0.12%  countwords_par_  libicuuc.so.72.1           [.] u_terminateChars_72
     0.12%  countwords_par_  libicuuc.so.72.1           [.] uprv_stricmp_72
     0.11%  countwords_par_  [kernel.kallsyms]          [k] aa_dfa_match
     0.11%  countwords_par_  libicui18n.so.72.1         [.] icu_72::Calendar::operator=(icu_72::Calendar const&)
     0.11%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::LocalizedNumberFormatter::LocalizedNumberFormatter(icu_72::number::NumberFormatterSettings<icu_72::number::LocalizedNumberFormatter>&&)
     0.11%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::StringProp::~StringProp()
     0.11%  countwords_par_  libicuuc.so.72.1           [.] u_asciiToUpper_72
