# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cpu-clock:ppp'
# Event count (approx.): 4119250000
#
# Overhead  Command          Shared Object                       Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  ..................................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.10%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::SimpleDateFormat::SimpleDateFormat(icu_72::DateFormat::EStyle, icu_72::DateFormat::EStyle, icu_72::Locale const&, UErrorCode&)
     0.10%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::LocalizedNumberFormatter::lnfMoveHelper(icu_72::number::LocalizedNumberFormatter&&)
     0.10%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::StringProp::~StringProp()
     0.10%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::Locale::Locale(char const*, char const*, char const*, char const*)
     0.10%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::Locale::Locale(icu_72::Locale const&)
     0.10%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnicodeString::UnicodeString(char16_t const*)
     0.10%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnicodeString::cloneArrayIfNeeded(int, int, signed char, int**, signed char)
     0.10%  countwords_par_  libicuuc.so.72.1                    [.] uprv_min_72
     0.09%  countwords_par_  [kernel.kallsyms]                   [k] _raw_spin_unlock_irqrestore
     0.09%  countwords_par_  [kernel.kallsyms]                   [k] kmem_cache_alloc
     0.09%  countwords_par_  libc.so.6                           [.] __memset_avx2_unaligned_erms
     0.09%  countwords_par_  libc.so.6                           [.] __strncmp_avx2
     0.09%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DecimalFormat::setMinimumFractionDigits(int)
     0.09%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::LocalizedNumberFormatter::LocalizedNumberFormatter(icu_72::number::NumberFormatterSettings<icu_72::number::LocalizedNumberFormatter>&&)
     0.09%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::Scale::~Scale()
     0.09%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::UnlocalizedNumberFormatter::UnlocalizedNumberFormatter(icu_72::number::NumberFormatterSettings<icu_72::number::UnlocalizedNumberFormatter>&&)
     0.09%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::CheckedArrayByteSink::CheckedArrayByteSink(char*, int)
     0.09%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::SharedObject::addRef() const
     0.09%  countwords_par_  libicuuc.so.72.1                    [.] ures_getStringByKey_72
     0.08%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::DecimalFormatProperties::clear()
     0.08%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnifiedCache::_poll(icu_72::CacheKeyBase const&, icu_72::SharedObject const*&, UErrorCode&) const
     0.08%  countwords_par_  libicuuc.so.72.1                    [.] uprv_stricmp_72
